title,body,time,price,skype,hangouts,offline_place,user_id,beginner,header_img_url,ticket_img_url,bought,bought_user_id
飲み会で使える一発芸教えて！,近々、職場の飲み会があるのですがそこで披露する一発芸が思いつきません！絶対にすべらない一発芸を教えて下さい！,1,500,1,0,,1,TRUE,http://210.140.71.3/image/tickets/header/tentoumushi.jpg,http://210.140.71.3/image/tickets/ticket/tentoumushi.jpg,0,
GOPATHの設定のおすすめが知りたいです,Go言語でGOPATHを固定してしまうと、各アプリケーションの外部パッケージが分離できず困っています。調べてみると対処方法はいくつかあるようですが、皆さんのおすすめの方法を教えてほしいです！,2,600,1,0,新宿周辺,1,FALSE,http://210.140.71.3/image/tickets/header/keyboard.jpg,http://210.140.71.3/image/tickets/ticket/keyboard.jpg,0,
スマブラが上手くなりたい,スマブラでいつも負けてばかりなので強くなりたいです！自分の操作を見てもらい、アドバイスをしていただける方を探しています！,3,500,0,0,山手線沿線,12,FALSE,http://210.140.71.3/image/tickets/header/kane.jpg,http://210.140.71.3/image/tickets/ticket/kane.jpg,1,2
株の基礎を教えてほしい,株に興味がありますが、何から学べば良いか分かりません。詳しい方に株の基礎から教えていただきたいです。,3,600,1,0,,2,TRUE,http://210.140.71.3/image/tickets/header/kane.jpg,http://210.140.71.3/image/tickets/ticket/kane.jpg,0,
ルービックキューブの揃え方おしえてください,説明を見ながら３面くらいは揃えられるのですがその後がどうしても上手くいきません。コツなど教えてほしいです！,1,500,1,0,,6,FALSE,http://210.140.71.3/image/tickets/header/tentoumushi.jpg,http://210.140.71.3/image/tickets/ticket/tentoumushi.jpg,1,1
簡単な片付けテクニックを教えてください,収納場所が少なく、ものの置き場に困っています。散らかった、狭い部屋をすっきりさせるには、どうしたらいいでしょうか。教えてください！,2,500,1,0,渋谷周辺,12,TRUE,http://210.140.71.3/image/tickets/header/glasses.jpg,http://210.140.71.3/image/tickets/ticket/glasses.jpg,0,
速く泳げる方法を今すぐ教えて！,地上では強いのですが、水中だと力を発揮することができません。速く泳げるようになって、相手を負かせられるようになりたいです！時間はいつでも空いています。水泳得意な人待ってます！,3,700,FALSE,FALSE,地球上,18,TRUE,http://210.140.71.3/image/tickets/header/thesea.jpg,http://210.140.71.3/image/tickets/ticket/thesea.jpg,0,
ホームページを作りたい！,自分の作品を紹介するホームページを開設しようと思っています！おしゃれなサイトが作りたいです！アドバイスください！,3,500,TRUE,TRUE,,4,TRUE,http://210.140.71.3/image/tickets/header/keyboard.jpg,http://210.140.71.3/image/tickets/ticket/keyboard.jpg,FALSE,
スノボが上手になりたい,スキーはできるのですが、横をむくのが怖く、スノボがいつまでたっても木の葉から上達しません。どうすればいいでしょうか？,3,700,FALSE,FALSE,関東近郊,4,TRUE,http://210.140.71.3/image/tickets/header/ground.jpg,http://210.140.71.3/image/tickets/ticket/ground.jpg,FALSE,
javaに詳しい方助けてください,どうやらjavaが書ければ解決するらしいのですが、サイトを調べてもよく分からず困っております。。。proseccingの書き出しがしたいのです。よろしくお願いします！,2,500,FALSE,FALSE,,4,FALSE,http://210.140.71.3/image/tickets/header/keyboard.jpg,http://210.140.71.3/image/tickets/ticket/keyboard.jpg,FALSE,
