ticket_id,keyword_id
1,13
2,66
3,12
4,4
5,12
6,1
6,2
6,3
7,18
7,21
8,57
9,35
10,58
11,49
12,1
12,3
13,31
14,6
15,17
16,12
17,10
18,48
19,40
20,62
21,23
21,18
22,17
22,16
23,47
24,35
24,34
25,25
26,19
26,22
26,20
27,1
27,3
27,4
28,50
28,49
28,17
28,16
29,28
30,14
30,13
31,1
31,3
32,27
32,26
32,12
33,1
33,3
34,55
34,54
34,16
35,58
35,65
35,69
36,51
36,52
36,53
37,32
38,21
38,18
39,9
39,8
39,7
40,17
40,15
41,16
42,48
43,18
43,25
43,47
43,50
43,48
44,12
45,1
45,3
45,2
46,6
47,54
48,10
49,20
50,1
50,3
50,2
51,5
52,40
52,41
52,42
52,12
53,16
54,18
54,43
54,47
54,50
54,48
55,17
56,6
56,7
56,8
56,9
57,10
57,17
58,14
58,13
59,1
59,5
60,50
60,49
61,1
61,4
62,50
62,49
63,54
64,36
65,32
66,18
67,51
67,1
67,4
68,54
68,55
69,58
69,59
69,60
69,61
69,62
69,63
69,64
69,65
69,66
69,67
69,68
69,69
69,70
69,71
70,69
71,62
72,1
72,3
72,2
73,5
74,40
74,41
74,42
74,12
75,47
76,7
77,1
77,2
78,42
78,40
79,1
79,3
79,4
80,35
81,12
82,17
82,16
83,1
83,2
84,43
85,16
86,55
86,16
87,30
88,8
88,3
88,1
89,48
89,17
90,10
