category_id,name
1,住宅
1,掃除
1,インテリア
1,お金
1,マナー
2,犬
2,猫
2,魚
2,小動物
3,本
3,テレビ
3,ゲーム
3,一発芸
3,手品
3,車
3,カメラ
3,旅行
4,水泳
4,シンクロ
4,ボート
4,ヨット
4,ダイビング
4,サーフィン
5,バレーボール
5,バスケットボール
5,ゴルフ
5,野球
5,サッカー
5,アメフト
5,テニス
5,バドミントン
5,卓球
5,ラグビー
6,スキー
6,スノーボード
6,スケート
6,そり
6,ホッケー
6,カーリング
7,武道
7,格闘技
7,拳法
7,射的
7,フェンシング
7,体操
7,ダンス
8,陸上
8,登山
8,クライミング
8,自転車
9,Excel
9,Word
9,PowerPoint
10,グラフィック
10,映像
10,モデリング
10,web
11,Scala
11,Java
11,C
11,C++
11,C#
11,PHP
11,Python
11,Perl
11,Ruby
11,Objective-C
11,Swift
11,JavaScript
11,Go
11,Brainfuck
